City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,ajdabiya,30.76,20.23,65.37,59,0,17.81,LY,1583532953
211,zhigansk,66.77,123.37,14.22,94,100,14.47,RU,1583533079
212,samana,19.21,-69.34,84.2,74,20,6.93,DO,1583533079
213,sucre,-19.03,-65.26,62.6,51,40,13.87,BO,1583533079
214,aransas pass,27.91,-97.15,71.6,40,1,14.99,US,1583533079
215,osterholz-scharmbeck,53.23,8.8,41.0,86,90,12.75,DE,1583533079
216,araouane,18.9,-3.53,81.1,6,0,8.12,ML,1583533080
217,grants pass,42.44,-123.33,59.0,50,75,5.5,US,1583532840
218,sebinkarahisar,40.29,38.42,32.65,97,100,7.36,TR,1583533080
219,rawson,-43.3,-65.1,72.43,60,100,26.93,AR,1583533080
220,zhigalovo,54.81,105.16,-5.73,100,93,2.42,RU,1583533080
221,suntar,62.14,117.63,8.1,88,100,8.86,RU,1583533080
222,dunedin,-45.87,170.5,61.0,76,13,8.01,NZ,1583533080
223,aripuana,-9.17,-60.63,80.91,94,99,0.38,BR,1583533080
224,metro,-5.11,105.31,75.38,92,95,4.45,ID,1583533080
225,fevik,58.38,8.68,33.01,92,55,4.7,NO,1583533080
226,piacabucu,-10.41,-36.43,82.53,78,0,10.89,BR,1583533039
227,biak,-0.91,122.88,80.76,81,100,8.66,ID,1583533080
228,husavik,66.04,-17.34,12.2,85,75,4.7,IS,1583533081
229,chumikan,54.72,135.31,7.75,77,85,2.82,RU,1583533081
230,port hardy,50.7,-127.42,41.0,75,75,12.75,CA,1583533081
231,severo-kurilsk,50.68,156.12,21.16,74,100,18.16,RU,1583533081
232,canico,32.63,-16.85,62.6,67,40,16.11,PT,1583533081
233,manbij,36.53,37.95,50.0,71,75,6.93,SY,1583533081
234,sioux lookout,50.1,-91.92,32.0,77,75,12.75,CA,1583533081
235,ellisras,-23.66,27.74,66.99,58,0,11.99,ZA,1583533081
236,sokolka,53.41,23.5,41.0,86,90,11.18,PL,1583533081
237,antsohihy,-14.88,47.99,74.93,97,100,2.1,MG,1583533081
238,ostersund,63.18,14.64,26.6,73,0,6.93,SE,1583533081
239,axim,4.87,-2.24,78.96,89,5,3.49,GH,1583532966
240,deder,9.32,41.45,67.8,57,0,1.25,ET,1583533082
241,grindavik,63.84,-22.43,30.2,74,100,11.41,IS,1583533082
242,igarka,67.47,86.58,-31.29,97,2,9.22,RU,1583533082
243,tarazona,41.9,-1.73,42.8,75,90,20.8,ES,1583533082
244,castro,-24.79,-50.01,68.74,64,13,2.46,BR,1583533082
245,sitka,57.05,-135.33,37.4,80,90,9.17,US,1583533082
246,mackay,-21.15,149.2,78.8,94,40,5.82,AU,1583533082
247,faanui,-16.48,-151.75,82.85,66,82,1.86,PF,1583533082
248,anadyr,64.75,177.48,-9.0,76,46,4.47,RU,1583533082
249,barra do garcas,-15.89,-52.26,80.6,83,75,9.17,BR,1583533082
250,orsk,51.2,58.57,5.0,77,23,6.71,RU,1583533082
251,labuhan,-6.88,112.21,74.59,91,95,2.15,ID,1583533083
252,upernavik,72.79,-56.15,-22.88,98,50,7.96,GL,1583533083
253,elizabeth city,36.29,-76.25,51.8,81,90,9.17,US,1583533083
254,lingyuan,41.24,119.4,37.51,92,97,1.92,CN,1583533083
255,quang ngai,15.12,108.8,73.65,85,71,6.78,VN,1583532924
256,magadi,12.97,77.23,73.4,94,40,4.7,IN,1583533083
257,ugoofaaru,5.67,73.0,82.67,64,6,3.49,MV,1583533083
258,nieuw amsterdam,5.88,-55.08,86.0,58,20,11.41,SR,1583533083
259,longyearbyen,78.22,15.64,23.0,67,75,6.93,SJ,1583533083
260,kavaratti,10.57,72.64,80.35,76,68,10.31,IN,1583533083
261,rayevskiy,54.07,54.95,13.71,76,5,12.03,RU,1583533083
262,nizwa,22.93,57.53,60.01,41,0,7.47,OM,1583533083
263,opuwo,-18.06,13.84,74.21,44,45,5.77,NA,1583533084
264,gramsh,40.87,20.18,49.96,82,86,4.07,AL,1583533084
265,sao marcos,-28.97,-51.07,73.99,49,0,4.12,BR,1583533084
266,pelym,61.01,62.0,28.98,83,100,10.85,RU,1583533084
267,corinto,37.94,22.96,57.99,81,99,5.95,GR,1583533084
268,tual,-5.67,132.75,81.72,82,100,13.22,ID,1583533084
269,puquio,-14.7,-74.13,48.43,84,88,10.83,PE,1583533084
270,haines junction,60.75,-137.51,-5.49,81,0,1.83,CA,1583533084
271,yerbogachen,61.28,108.01,-0.42,88,100,13.27,RU,1583533084
272,chapais,49.78,-74.85,15.8,43,1,9.17,CA,1583533084
273,samarai,-10.62,150.67,78.71,80,100,4.65,PG,1583533084
274,benjamin constant,-4.38,-70.03,84.2,74,75,5.82,BR,1583533084
275,zile,40.3,35.89,44.6,81,2,9.17,TR,1583533085
276,teguldet,57.31,88.17,-6.0,98,100,5.79,RU,1583533085
277,ostrovnoy,68.05,39.51,21.42,91,26,19.91,RU,1583533085
278,pombas,17.15,-25.02,69.8,77,75,20.8,CV,1583533085
279,kolpashevo,58.31,82.91,-12.75,97,23,6.13,RU,1583533085
280,bogorodskoye,56.55,37.88,39.78,92,100,8.05,RU,1583533085
281,eureka,40.8,-124.16,57.0,62,90,5.82,US,1583533085
282,robat karim,35.48,51.08,51.8,40,24,5.91,IR,1583532816
283,pemberton,50.32,-122.8,37.4,47,20,2.24,CA,1583533085
284,esperance,-33.87,121.9,60.8,93,53,10.29,AU,1583533085
285,cayenne,4.93,-52.33,80.6,69,75,6.93,GF,1583533085
286,taoudenni,22.68,-3.98,74.71,8,0,2.21,ML,1583533085
287,farmington,36.73,-108.22,64.4,15,1,12.75,US,1583533085
288,bereda,43.27,-7.54,54.0,93,75,3.36,ES,1583533086
289,huilong,31.81,121.66,51.01,94,100,1.66,CN,1583533086
290,preobrazheniye,42.9,133.91,20.61,80,46,3.09,RU,1583533086
291,gat,31.61,34.76,57.0,93,40,4.7,IL,1583533086
292,kerman,30.28,57.08,37.4,23,0,6.93,IR,1583533086
293,kadoma,34.73,135.58,41.0,75,100,4.7,JP,1583533086
294,hay river,60.82,-115.8,-11.2,63,40,6.93,CA,1583532937
295,kamaishi,39.27,141.88,31.42,71,0,5.1,JP,1583533086
296,margate,51.38,1.39,39.2,69,0,4.7,GB,1583533086
297,tyukhtet,56.54,89.3,3.13,96,100,6.76,RU,1583533086
298,kargil,34.57,76.1,10.65,93,100,0.72,IN,1583533086
299,beringovskiy,63.05,179.32,1.74,80,100,3.27,RU,1583533086
300,trairi,-3.28,-39.27,76.71,94,100,2.66,BR,1583533087
301,puerto baquerizo moreno,-0.9,-89.6,82.4,83,75,4.7,EC,1583533087
302,buala,-8.14,159.59,83.35,75,100,4.29,SB,1583533087
303,pekalongan,-6.89,109.68,74.44,87,99,2.77,ID,1583532908
304,lompoc,34.64,-120.46,66.99,63,1,13.87,US,1583533087
305,destin,30.39,-86.5,69.8,19,1,16.11,US,1583533087
306,morant bay,17.88,-76.41,84.2,66,20,19.46,JM,1583533087
307,salina cruz,16.17,-95.2,79.03,61,0,48.54,MX,1583533087
308,alyangula,-13.85,136.42,77.0,100,100,2.91,AU,1583533087
309,vila do maio,15.13,-23.22,73.4,73,40,17.22,CV,1583533087
310,dezful,32.38,48.41,63.79,32,31,6.15,IR,1583533087
311,geraldton,-28.77,114.6,60.8,87,100,5.82,AU,1583533087
312,provideniya,64.38,-173.3,10.36,93,100,0.76,RU,1583533088
313,bend,44.06,-121.32,60.8,30,75,9.17,US,1583533041
